"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:10.78","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.79","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.80","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.81","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.82","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.83","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.84","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.85","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.86","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.87","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.88","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.89","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.90","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.91","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.92","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.93","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.94","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.95","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.96","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.97","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.98","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:10.99","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.00","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.01","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.02","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.03","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.04","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
